,session_number,date,event_time,unique_visit,on_off,port,port_rank,prior_port,rewarded,RA_1,RA_2,RA_3,RA_4,RA_5,RA_6,photo_i,video_i
0,1,2021-09-09 14:51:31,0.5,0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,6430.0
1,1,2021-09-09 14:51:31,0.7291000000000001,1,1.0,6.0,6.0,0.0,0.0,,,,,,,6196.0,9179.0
3,1,2021-09-09 14:51:31,0.7339166666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6233.0,9237.0
5,1,2021-09-09 14:51:31,0.7371833333333334,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6259.0,9276.0
7,1,2021-09-09 14:51:31,0.7412333333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6290.0,9324.0
9,1,2021-09-09 14:51:31,0.7440333333333334,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6312.0,9358.0
11,1,2021-09-09 14:51:31,0.7453666666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6322.0,9374.0
13,1,2021-09-09 14:51:31,0.7470833333333334,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6336.0,9395.0
15,1,2021-09-09 14:51:31,0.7514833333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6370.0,9447.0
17,1,2021-09-09 14:51:31,0.7545166666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6394.0,9484.0
19,1,2021-09-09 14:51:31,0.7562166666666666,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6407.0,9504.0
21,1,2021-09-09 14:51:31,0.7592,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6430.0,9540.0
23,1,2021-09-09 14:51:31,0.7611666666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6446.0,9564.0
25,1,2021-09-09 14:51:31,0.76305,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6460.0,9586.0
27,1,2021-09-09 14:51:31,0.7649833333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6475.0,9609.0
29,1,2021-09-09 14:51:31,0.7667333333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6489.0,9630.0
31,1,2021-09-09 14:51:31,0.7681333333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6500.0,9647.0
33,1,2021-09-09 14:51:31,0.7695833333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6511.0,9665.0
35,1,2021-09-09 14:51:31,0.7727166666666666,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6536.0,9702.0
37,1,2021-09-09 14:51:31,0.7769833333333334,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6569.0,9753.0
39,1,2021-09-09 14:51:31,0.7787000000000001,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6582.0,9774.0
41,1,2021-09-09 14:51:31,0.7807,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6598.0,9798.0
43,1,2021-09-09 14:51:31,0.7825666666666666,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6612.0,9820.0
45,1,2021-09-09 14:51:31,0.7837,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6621.0,9834.0
47,1,2021-09-09 14:51:31,0.7875666666666666,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6651.0,9880.0
49,1,2021-09-09 14:51:31,0.7897,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6668.0,9906.0
51,1,2021-09-09 14:51:31,0.7918333333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6685.0,9932.0
53,1,2021-09-09 14:51:31,0.79395,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6701.0,9957.0
55,1,2021-09-09 14:51:31,0.7956166666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,6714.0,9977.0
57,1,2021-09-09 14:51:31,1.0000166666666666,0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,12429.0
58,1,2021-09-09 14:51:31,1.0333333333333334,0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,12829.0
59,1,2021-09-09 14:51:31,1.204,1,1.0,2.0,2.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,9899.0,14877.0
60,1,2021-09-09 14:51:31,1.2040333333333335,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,14877.0
62,1,2021-09-09 14:51:31,1.2149,0,1.0,2.0,2.0,2.0,0.0,,,,,,,9984.0,15008.0
64,1,2021-09-09 14:51:31,1.2183333333333333,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10011.0,15049.0
66,1,2021-09-09 14:51:31,1.2201,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10025.0,15070.0
68,1,2021-09-09 14:51:31,1.2216833333333335,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10037.0,15089.0
70,1,2021-09-09 14:51:31,1.2234333333333334,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10051.0,15110.0
72,1,2021-09-09 14:51:31,1.2252666666666667,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10065.0,15132.0
74,1,2021-09-09 14:51:31,1.2269833333333333,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10078.0,15153.0
76,1,2021-09-09 14:51:31,1.2287833333333333,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10092.0,15174.0
78,1,2021-09-09 14:51:31,1.2314,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10113.0,15206.0
80,1,2021-09-09 14:51:31,1.2347499999999998,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10139.0,15246.0
82,1,2021-09-09 14:51:31,1.2363833333333334,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10152.0,15265.0
84,1,2021-09-09 14:51:31,1.2401833333333334,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10181.0,15311.0
86,1,2021-09-09 14:51:31,1.2420499999999999,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10196.0,15333.0
88,1,2021-09-09 14:51:31,1.2439333333333333,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10211.0,15356.0
90,1,2021-09-09 14:51:31,1.2456333333333334,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10224.0,15376.0
92,1,2021-09-09 14:51:31,1.2501833333333332,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10259.0,15431.0
94,1,2021-09-09 14:51:31,1.2518,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10272.0,15450.0
96,1,2021-09-09 14:51:31,1.2536666666666667,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10287.0,15473.0
98,1,2021-09-09 14:51:31,1.2561833333333332,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10306.0,15503.0
100,1,2021-09-09 14:51:31,1.2592666666666665,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10330.0,15540.0
102,1,2021-09-09 14:51:31,1.2607,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10341.0,15557.0
104,1,2021-09-09 14:51:31,1.2624833333333332,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10355.0,15578.0
106,1,2021-09-09 14:51:31,1.2647166666666665,0,1.0,2.0,2.0,2.0,0.0,,,,,,,10373.0,15605.0
108,1,2021-09-09 14:51:31,1.4868833333333333,1,1.0,6.0,6.0,2.0,0.0,,,,,,,12106.0,18271.0
110,1,2021-09-09 14:51:31,1.489,0,1.0,6.0,6.0,6.0,0.0,,,,,,,12122.0,18297.0
112,1,2021-09-09 14:51:31,1.4905833333333334,0,1.0,6.0,6.0,6.0,0.0,,,,,,,12135.0,18316.0
114,1,2021-09-09 14:51:31,1.4919,0,1.0,6.0,6.0,6.0,0.0,,,,,,,12145.0,18331.0
116,1,2021-09-09 14:51:31,1.4933333333333332,0,1.0,6.0,6.0,6.0,0.0,,,,,,,12156.0,18349.0
118,1,2021-09-09 14:51:31,1.4949333333333332,0,1.0,6.0,6.0,6.0,0.0,,,,,,,12168.0,18368.0
120,1,2021-09-09 14:51:31,1.4965166666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,12181.0,18387.0
122,1,2021-09-09 14:51:31,1.4984166666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,12196.0,18410.0
124,1,2021-09-09 14:51:31,1.4996666666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,12205.0,18425.0
125,1,2021-09-09 14:51:31,1.5000333333333333,0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,18429.0
127,1,2021-09-09 14:51:31,1.5020333333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,12224.0,18453.0
129,1,2021-09-09 14:51:31,2.00005,0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,24429.0
130,1,2021-09-09 14:51:31,2.03335,0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,24828.0
131,1,2021-09-09 14:51:31,2.5000666666666667,0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,30428.0
132,1,2021-09-09 14:51:31,2.8728833333333332,1,1.0,1.0,1.0,6.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,22917.0,34901.0
133,1,2021-09-09 14:51:31,2.8729,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,34902.0
135,1,2021-09-09 14:51:31,2.87745,0,1.0,1.0,1.0,1.0,0.0,,,,,,,22953.0,34956.0
137,1,2021-09-09 14:51:31,2.8802000000000003,0,1.0,1.0,1.0,1.0,0.0,,,,,,,22974.0,34989.0
139,1,2021-09-09 14:51:31,2.8817833333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,22986.0,35008.0
141,1,2021-09-09 14:51:31,2.884916666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23011.0,35046.0
143,1,2021-09-09 14:51:31,2.8868,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23026.0,35068.0
145,1,2021-09-09 14:51:31,2.8883666666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23038.0,35087.0
147,1,2021-09-09 14:51:31,2.8901499999999998,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23052.0,35109.0
149,1,2021-09-09 14:51:31,2.8918666666666666,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23065.0,35129.0
151,1,2021-09-09 14:51:31,2.8939833333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23082.0,35155.0
153,1,2021-09-09 14:51:31,2.8956,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23094.0,35174.0
155,1,2021-09-09 14:51:31,2.896983333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23105.0,35191.0
157,1,2021-09-09 14:51:31,2.8992,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23122.0,35217.0
159,1,2021-09-09 14:51:31,2.9010333333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23136.0,35239.0
161,1,2021-09-09 14:51:31,2.9031499999999997,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23153.0,35265.0
163,1,2021-09-09 14:51:31,2.9047833333333335,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23166.0,35284.0
165,1,2021-09-09 14:51:31,2.908333333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23193.0,35327.0
167,1,2021-09-09 14:51:31,2.910083333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23207.0,35348.0
169,1,2021-09-09 14:51:31,2.912,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23222.0,35371.0
171,1,2021-09-09 14:51:31,2.9139833333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23237.0,35395.0
173,1,2021-09-09 14:51:31,2.9160833333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23254.0,35420.0
175,1,2021-09-09 14:51:31,2.9177666666666666,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23267.0,35440.0
177,1,2021-09-09 14:51:31,2.9195333333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23281.0,35461.0
179,1,2021-09-09 14:51:31,2.921666666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23297.0,35487.0
181,1,2021-09-09 14:51:31,2.9258666666666664,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23330.0,35537.0
183,1,2021-09-09 14:51:31,2.92985,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23361.0,35585.0
185,1,2021-09-09 14:51:31,2.9315166666666665,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23374.0,35605.0
187,1,2021-09-09 14:51:31,2.9334333333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23389.0,35628.0
189,1,2021-09-09 14:51:31,2.93535,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23404.0,35651.0
191,1,2021-09-09 14:51:31,2.9401,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23441.0,35708.0
193,1,2021-09-09 14:51:31,2.9419,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23455.0,35730.0
195,1,2021-09-09 14:51:31,2.945133333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23480.0,35768.0
197,1,2021-09-09 14:51:31,2.9512833333333335,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23528.0,35842.0
199,1,2021-09-09 14:51:31,2.9541833333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23551.0,35877.0
201,1,2021-09-09 14:51:31,2.9557833333333337,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23563.0,35896.0
203,1,2021-09-09 14:51:31,2.9575666666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23577.0,35918.0
205,1,2021-09-09 14:51:31,2.95975,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23594.0,35944.0
207,1,2021-09-09 14:51:31,2.9618666666666664,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23611.0,35969.0
209,1,2021-09-09 14:51:31,2.9642833333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23629.0,35998.0
211,1,2021-09-09 14:51:31,2.96625,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23645.0,36022.0
213,1,2021-09-09 14:51:31,2.9681833333333336,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23660.0,36045.0
215,1,2021-09-09 14:51:31,2.9700833333333336,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23675.0,36068.0
217,1,2021-09-09 14:51:31,2.972266666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23692.0,36094.0
219,1,2021-09-09 14:51:31,2.9742166666666665,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23707.0,36117.0
221,1,2021-09-09 14:51:31,2.9770333333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23729.0,36151.0
223,1,2021-09-09 14:51:31,2.9786833333333336,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23742.0,36171.0
225,1,2021-09-09 14:51:31,2.98055,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23756.0,36193.0
227,1,2021-09-09 14:51:31,2.981733333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23765.0,36208.0
229,1,2021-09-09 14:51:31,2.9829833333333338,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23775.0,36223.0
231,1,2021-09-09 14:51:31,2.9845333333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23787.0,36241.0
233,1,2021-09-09 14:51:31,2.9865500000000003,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23803.0,36265.0
235,1,2021-09-09 14:51:31,2.988583333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23819.0,36290.0
237,1,2021-09-09 14:51:31,2.9900666666666664,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23830.0,36308.0
239,1,2021-09-09 14:51:31,2.9917333333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23843.0,36328.0
241,1,2021-09-09 14:51:31,2.9935,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23857.0,36349.0
243,1,2021-09-09 14:51:31,2.99525,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23871.0,36370.0
245,1,2021-09-09 14:51:31,2.9970333333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23885.0,36391.0
247,1,2021-09-09 14:51:31,3.0000833333333334,0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,36428.0
248,1,2021-09-09 14:51:31,3.0006166666666667,0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,23913.0,36434.0
249,1,2021-09-09 14:51:31,3.00065,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,36435.0
251,1,2021-09-09 14:51:31,3.00255,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23928.0,36457.0
253,1,2021-09-09 14:51:31,3.0059833333333335,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23955.0,36499.0
255,1,2021-09-09 14:51:31,3.0072833333333335,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23965.0,36514.0
257,1,2021-09-09 14:51:31,3.011283333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,23996.0,36562.0
259,1,2021-09-09 14:51:31,3.0133666666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24012.0,36587.0
261,1,2021-09-09 14:51:31,3.020966666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24072.0,36678.0
263,1,2021-09-09 14:51:31,3.022583333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24084.0,36698.0
265,1,2021-09-09 14:51:31,3.0284833333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24130.0,36769.0
267,1,2021-09-09 14:51:31,3.0326833333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24163.0,36819.0
268,1,2021-09-09 14:51:31,3.033466666666667,0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,36828.0
270,1,2021-09-09 14:51:31,3.0347333333333335,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24179.0,36844.0
272,1,2021-09-09 14:51:31,3.036783333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24195.0,36868.0
274,1,2021-09-09 14:51:31,3.0387666666666666,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24210.0,36892.0
276,1,2021-09-09 14:51:31,3.0405666666666664,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24224.0,36914.0
278,1,2021-09-09 14:51:31,3.04255,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24240.0,36937.0
280,1,2021-09-09 14:51:31,3.0446833333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24257.0,36963.0
282,1,2021-09-09 14:51:31,3.0489666666666664,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24290.0,37014.0
284,1,2021-09-09 14:51:31,3.0511166666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24307.0,37040.0
286,1,2021-09-09 14:51:31,3.055333333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24340.0,37091.0
288,1,2021-09-09 14:51:31,3.0571833333333336,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24354.0,37113.0
290,1,2021-09-09 14:51:31,3.05965,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24373.0,37143.0
292,1,2021-09-09 14:51:31,3.0614,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24387.0,37164.0
294,1,2021-09-09 14:51:31,3.065716666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24421.0,37215.0
296,1,2021-09-09 14:51:31,3.0694500000000002,0,1.0,1.0,1.0,1.0,0.0,,,,,,,24450.0,37260.0
298,1,2021-09-09 14:51:31,3.3442333333333334,1,1.0,1.0,1.0,1.0,0.0,,,,,,,26593.0,40557.0
300,1,2021-09-09 14:51:31,3.3456166666666665,0,1.0,1.0,1.0,1.0,0.0,,,,,,,26604.0,40573.0
302,1,2021-09-09 14:51:31,3.3474,0,1.0,1.0,1.0,1.0,0.0,,,,,,,26618.0,40595.0
304,1,2021-09-09 14:51:31,3.5001,0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,42427.0
305,1,2021-09-09 14:51:31,3.6626166666666666,1,1.0,6.0,6.0,1.0,0.0,,,,,,,29077.0,44377.0
307,1,2021-09-09 14:51:31,3.663616666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29084.0,44389.0
309,1,2021-09-09 14:51:31,3.6650666666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29096.0,44407.0
311,1,2021-09-09 14:51:31,3.666416666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29106.0,44423.0
313,1,2021-09-09 14:51:31,3.6679666666666666,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29118.0,44441.0
315,1,2021-09-09 14:51:31,3.66965,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29131.0,44462.0
317,1,2021-09-09 14:51:31,3.6702,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29136.0,44468.0
319,1,2021-09-09 14:51:31,3.671583333333333,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29147.0,44485.0
321,1,2021-09-09 14:51:31,3.6732500000000003,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29160.0,44505.0
323,1,2021-09-09 14:51:31,3.6752166666666666,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29175.0,44528.0
325,1,2021-09-09 14:51:31,3.6788666666666665,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29203.0,44572.0
327,1,2021-09-09 14:51:31,3.6808833333333335,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29219.0,44596.0
329,1,2021-09-09 14:51:31,3.6831666666666667,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29237.0,44624.0
331,1,2021-09-09 14:51:31,3.6853833333333332,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29254.0,44650.0
333,1,2021-09-09 14:51:31,3.6870333333333334,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29267.0,44670.0
335,1,2021-09-09 14:51:31,3.6894833333333334,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29286.0,44700.0
337,1,2021-09-09 14:51:31,3.6910499999999997,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29298.0,44718.0
339,1,2021-09-09 14:51:31,3.6927000000000003,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29311.0,44738.0
341,1,2021-09-09 14:51:31,3.6990166666666666,0,1.0,6.0,6.0,6.0,0.0,,,,,,,29361.0,44814.0
343,1,2021-09-09 14:51:31,4.000116666666667,0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,48427.0
344,1,2021-09-09 14:51:31,4.0334666666666665,0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,48827.0
345,1,2021-09-09 14:51:31,4.066666666666666,0,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,49225.0
346,1,2021-09-09 14:51:31,4.1,0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,49625.0
347,1,2021-09-09 14:51:31,4.3641499999999995,1,1.0,1.0,1.0,6.0,1.0,8.0,4.0,1.0,1.0,0.0,0.0,34548.0,52795.0
348,1,2021-09-09 14:51:31,4.364183333333333,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,52795.0
350,1,2021-09-09 14:51:31,4.365966666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34563.0,52817.0
352,1,2021-09-09 14:51:31,4.3675999999999995,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34575.0,52836.0
354,1,2021-09-09 14:51:31,4.368716666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34584.0,52850.0
356,1,2021-09-09 14:51:31,4.3702499999999995,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34596.0,52868.0
358,1,2021-09-09 14:51:31,4.372033333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34610.0,52889.0
360,1,2021-09-09 14:51:31,4.37375,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34623.0,52910.0
362,1,2021-09-09 14:51:31,4.375383333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34636.0,52930.0
364,1,2021-09-09 14:51:31,4.377233333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34650.0,52952.0
366,1,2021-09-09 14:51:31,4.378616666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34661.0,52968.0
368,1,2021-09-09 14:51:31,4.3803,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34674.0,52989.0
370,1,2021-09-09 14:51:31,4.3822,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34689.0,53011.0
372,1,2021-09-09 14:51:31,4.383833333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34702.0,53031.0
374,1,2021-09-09 14:51:31,4.385533333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34715.0,53051.0
376,1,2021-09-09 14:51:31,4.387200000000001,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34728.0,53071.0
378,1,2021-09-09 14:51:31,4.3892500000000005,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34744.0,53096.0
380,1,2021-09-09 14:51:31,4.391083333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34758.0,53118.0
382,1,2021-09-09 14:51:31,4.392833333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34772.0,53139.0
384,1,2021-09-09 14:51:31,4.3952,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34791.0,53167.0
386,1,2021-09-09 14:51:31,4.397133333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34806.0,53190.0
388,1,2021-09-09 14:51:31,4.399283333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34822.0,53216.0
390,1,2021-09-09 14:51:31,4.403183333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34853.0,53263.0
392,1,2021-09-09 14:51:31,4.404716666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34865.0,53281.0
394,1,2021-09-09 14:51:31,4.406533333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34879.0,53303.0
396,1,2021-09-09 14:51:31,4.408600000000001,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34895.0,53328.0
398,1,2021-09-09 14:51:31,4.410116666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34907.0,53346.0
400,1,2021-09-09 14:51:31,4.412283333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34924.0,53372.0
402,1,2021-09-09 14:51:31,4.414116666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34938.0,53394.0
404,1,2021-09-09 14:51:31,4.415783333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34951.0,53414.0
406,1,2021-09-09 14:51:31,4.41755,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34965.0,53435.0
408,1,2021-09-09 14:51:31,4.419316666666666,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34979.0,53457.0
410,1,2021-09-09 14:51:31,4.421666666666667,0,1.0,1.0,1.0,1.0,0.0,,,,,,,34997.0,53485.0
412,1,2021-09-09 14:51:31,4.423783333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,35014.0,53510.0
414,1,2021-09-09 14:51:31,4.425933333333333,0,1.0,1.0,1.0,1.0,0.0,,,,,,,35030.0,53536.0
416,1,2021-09-09 14:51:31,4.43235,0,1.0,1.0,1.0,1.0,0.0,,,,,,,35080.0,53613.0
418,1,2021-09-09 14:51:31,4.4351166666666675,0,1.0,1.0,1.0,1.0,0.0,,,,,,,35102.0,53646.0
420,1,2021-09-09 14:51:31,4.437133333333334,0,1.0,1.0,1.0,1.0,0.0,,,,,,,35118.0,53670.0
