,6PG5,6PG8,6PG9,6PG10,6PG11,6PG12,6PG15,6PG25,6PG27,6PG28,6PG30,ML11,ML12,ML15,ML17,6PG33,6PG35
0,,,,,,,,,,,,,,,,,
1,0.08826673963053054,0.08115817690426914,0.35862749525899495,0.34567903243973946,0.24573578529294288,0.3145485569340382,0.0686466659515102,0.1640008497106866,0.23895525164848674,0.004272686289378247,0.3696678730282448,0.10271692436880185,0.36416756000085454,0.6114068806139014,0.5876189539449349,0.2592965836346015,0.3404721532727161
2,0.1249733088858497,0.22909483600228864,0.22953571445777082,0.3287723292613549,0.07721113787456076,0.6255767713333599,0.5774007677857065,0.5310654895084248,0.04345811334722892,0.11253618356081586,0.2367132787244971,0.10181479848039697,0.2185789488523599,0.16297240907811295,0.0896385547593205,0.07836771718827734,0.3962394770816235
3,0.03094580283997641,0.36785904095520433,0.12829082984104564,0.0012770560446317123,0.5217362846465882,0.6018953136370551,0.05636253027746329,0.672083075570555,0.2016767269056458,0.41419178000111234,0.38347854151762534,0.1878350115634227,0.11382895092440659,0.5206113858130917,0.058284322283222736,0.42984540858524806,0.3849374464537227
4,0.05673436476632692,0.07188763898268291,0.03795874820162959,0.226927844098621,0.21861328626679072,0.3686894276684885,0.2347378509233648,0.05218965920371706,0.06813776706924965,0.1770483211710229,0.07150966814160126,0.09259988273690829,0.057072873895336974,0.07316867042705498,0.26564089411285113,0.1112800509050976,0.008595009985006412
5,0.07042167584837998,0.09857400640871843,0.07041919671074855,0.04552832361630089,0.06362285362986718,0.06487516528941725,0.09601323250107163,0.05364359923600362,0.29219331895349265,0.10054718273741013,0.35495605402155855,0.09993175800624582,0.30385330727203236,0.12266822305016566,0.07312557429546757,0.3498868270719477,0.3955703968185826
6,0.022914245677103085,0.08138124412166467,0.01930449031547309,0.1442459611882892,0.1980035117786721,0.08021490608287421,0.38156372933352434,0.18073174545575071,0.34197720392131403,0.6686869798188364,0.05665703899558367,0.0028649682646416327,0.37162728652104393,0.2516231205902173,0.2732987847143897,0.06895155652587114,0.32389797557928807
7,0.02729994630532981,0.3119461850888075,0.15725041200629045,0.04412905221223675,0.03531283927081832,0.2727826078387339,0.24228105511326656,0.06902267457679571,0.05826846931411837,0.06695266307839956,0.2642239796863297,0.1363069496926969,0.22432193661545916,0.06439392354340152,0.06346530513876471,0.33936409149953944,0.005783022886429111
8,0.058679071546700746,0.08635465509926703,0.10538224436891842,0.014337611106744955,0.23966839971099985,0.3094610482898229,0.07108847711604487,0.26325523192900274,0.21747135199131795,0.11837055484118009,0.13136122962435087,0.07544612165234886,0.05650520551080449,0.09015106476159968,0.03811420285988929,0.06360893833612087,0.09783991036946772
9,0.009487690182640425,1.0,0.14930641283410803,0.15723053988633873,0.2195705213253044,0.2537445680899771,0.19156763593737353,0.053362794083702064,0.07288031960394992,0.11268095417792219,0.08426689441376295,0.020994484221943267,0.10629083477032625,0.21714894790544592,0.05898895961552101,0.13893922055505992,0.36334265413290057
10,0.0026181991654950945,0.22078737689659983,0.05883766146446291,0.03058020889554671,0.09381121085625047,0.5766101148788062,0.05458108343889806,0.4971062252220612,0.009017269277487066,0.05280105212004158,0.12032120867111046,0.030201230238507935,0.42905472306069575,0.06141510044918955,0.23812239718036668,0.26977832745955055,0.3752832014963291
11,0.037006566023139446,0.18293980787050565,0.004675389472961019,0.021828569077087717,0.0922139498376903,0.4260636732056658,0.08337395362886975,0.06102468298322045,0.11078573353121303,0.2971300778805847,0.100588993932134,0.11881008679720906,0.29729375259391544,0.15595399144052782,0.13673411826759382,0.05977411317176328,0.1000090858410252
12,0.03283571265440234,0.07638279395860818,0.009202855718718782,0.059579723568279876,0.07237276676858151,0.0015087588064467636,0.3385529441434505,0.05440276416037035,0.22963620695772965,0.10744230669411985,0.05889083217802205,0.040316287896994166,0.11644626176214382,0.346582959433141,0.20471894940666427,0.14368318139894623,0.46344383338935213
13,0.17046253429912442,0.3242794755352158,0.27510110130213083,0.030381599946456134,0.3197798456049602,0.0009475441216508189,0.05334184526627239,0.05947239323849431,0.041606620595023514,0.06851041408914997,0.32707307299306726,0.14908017443581928,0.31020297459917767,0.08249541743296826,0.07720776280357043,0.04779350398594862,0.061974836840524815
14,0.03652579120399842,0.13038213901342252,0.06845941836442448,0.1577553117214284,0.031045780402019052,0.3296187934145447,0.06891080426028007,0.03974776307649134,0.004440026641948894,0.2624814921955363,0.07090877937138124,0.054186710412849046,0.3264440932881424,0.4051295556476692,0.06438417337511454,0.25875763250657086,0.34763488481508353
15,0.03199285169238681,0.38633582761711216,0.049670874037138775,0.0017253575749357859,0.043885077968313375,0.004760361801859165,0.06491844878494976,0.14841191597346773,0.23325927477396888,0.07865063978517516,0.21658115279908396,0.05681952545852392,0.06048608843397179,0.09424935103026218,0.013645206541864616,0.062231342586466065,0.07420738643237339
16,0.12694013151404812,0.10057267426629074,0.1739592985392782,0.18120571354693904,0.036533106517993456,0.6608220764541065,0.06856466446699581,0.06195174419278955,0.042739276726423685,0.11002851215855267,0.05414497261836554,0.0709141110556483,0.08629914356426732,0.2506134757641934,0.22013255906481916,0.08864083345212388,0.09125429195955365
17,0.028403667660179443,0.15882728732842427,0.014322046272718611,0.027762420087529372,0.09727624697287375,0.35111836260529267,0.26880163979589217,0.03907432549668101,0.04700575579866001,0.200516596690996,0.007516746332926279,0.044191911980134335,0.21765727479904237,0.32319342683159713,0.09039444182541474,0.030305578732289853,0.017832587823361556
18,0.010743283354424689,0.3815505706578117,0.005540633637203481,0.05699325922453582,0.26682209740056867,0.28149012110924393,0.004742156149724748,0.1488699974428946,0.15705810829971584,0.15907938848030792,0.08787400799033313,0.09420886200869998,0.03169100736056352,0.059375198294729765,0.0459401139643783,0.40742557402901725,0.3321673561311141
19,0.03056213415727709,0.1316451566160115,0.1541499474627988,0.03154280800311324,0.05449041524147504,0.27781945733968144,0.0023015571819219624,0.04915504764750268,0.03825694973905782,0.007217504619629076,0.15655688555746994,0.0011978651696106827,0.3108714703291127,0.02300474795357325,0.3528524649876708,0.32886020182314357,0.14360619618333292
20,0.10266944730974074,0.1475493554807689,0.04689100891900574,0.14837775201581035,0.16658266235591296,0.23369575677730747,0.0003112708043462581,0.3153297309249968,0.06380702046748941,0.21113355007217982,0.057111301849678775,0.048706534959436866,0.06490717140506783,0.12314181825650726,0.08232409214899218,0.09206261010135036,0.053742955034625374
21,0.056748295364645596,0.5533840505504928,0.2645317391207083,0.47507584982864626,0.037025141519037505,0.37993635826584315,0.00037983891852365857,0.19699288644020319,0.01876011313268809,0.06808337428196266,0.3993075204285008,0.06950408429297097,0.17365201048890744,0.26021116774342257,0.5751668325783442,0.0570854974992403,0.25424750365289983
22,0.07414971021588147,0.1006361473829564,0.0023941265394866874,0.3934728021516874,0.33630428545979724,0.08882123229099675,0.001265370103902456,0.4223153983029,0.038439411904514734,0.36664683561761363,0.08160225391213023,0.13613622734187164,0.24030497189375782,0.107854551194957,0.06609496242165187,0.23593492574763625,0.015700966419413775
